Timestamp,User,SessionTime,HR,RR,Range_m,RMS,Energy,PeakToPeak,IBI_Mean,IBI_STD,Skewness,Kurtosis,DominantFreq,SpectralCentroid,SpectralEntropy,PulseWidth,RiseTime,BandPower,SBP_Estimate,DBP_Estimate,ReliabilityScore
2026-02-24 17:36:50.877394,data_collection_user,5.07,133.33,7.03,1.000,0.07111304794032444,0.5057065587362882,0.48585806019488276,1.2333333333333334,0.023570226039551605,-1.8311708168486123,7.588918856104556,0.8,1.1152674393020998,2.368964082755056,0.5517821115974078,0.175,20.724713714567983,156.4,95.1,90
2026-02-24 17:36:50.921285,data_collection_user,5.12,133.33,7.03,1.000,0.07083516925901633,0.5067797415993027,0.4863464537862935,1.25,0.0,-1.8462907436952112,7.707758247464179,0.792079207920792,1.1152200336189781,2.3792223821770437,0.5582228944868757,0.175,16.210074838862493,156.4,95.1,90
2026-02-24 17:36:50.975267,data_collection_user,5.17,133.33,7.03,1.000,0.07055675922764139,0.5077821398161505,0.48681809795102404,1.2666666666666666,0.023570226039551605,-1.8616009296757898,7.828285214561941,0.784313725490196,1.1155326581779974,2.3896105874098486,0.5659897135505207,0.1875,16.644919837201563,156.4,95.1,90
2026-02-24 17:36:51.025462,data_collection_user,5.22,133.33,7.03,1.000,0.07027851928298075,0.5087242380786546,0.4872745605720806,1.2833333333333334,0.04714045207910321,-1.8770318914151831,7.9501435439536206,0.970873786407767,1.1156162724772822,2.3994913226509538,0.5737462333873243,0.18750000000000003,17.08176451065362,156.4,95.1,90
2026-02-24 17:36:51.073216,data_collection_user,5.27,133.33,7.03,1.000,0.07000124768591408,0.5096181664688079,0.48771764899018216,1.2833333333333334,0.04714045207910321,-1.8925066081991508,8.072923028004652,0.9615384615384615,1.1160385612904653,2.4094018826075474,0.5831994847805306,0.2,17.644763558972386,156.4,95.1,90
2026-02-24 17:36:51.132502,data_collection_user,5.33,133.33,7.03,1.000,0.06972577678681838,0.510476814595148,0.4881492861319733,1.3,0.07071067811865471,-1.907945906161794,8.196188175724338,0.9523809523809523,1.116216506407612,2.4187440918289096,0.5935518443293585,0.2,18.09915801435533,156.4,95.1,90
2026-02-24 17:36:51.175590,data_collection_user,5.37,133.33,7.03,1.000,0.06945291445438875,0.511312976578116,0.4885713917882092,1.3166666666666667,0.09428090415820632,-1.9232736169125528,8.319506921615782,0.9433962264150942,1.1167020326146755,2.428072941244879,0.6054365941843582,0.1875,18.553861231052622,156.4,95.1,90
2026-02-24 17:36:51.223250,data_collection_user,5.42,133.33,7.03,1.000,0.06918339277624634,0.512138576455464,0.4889857761689725,1.3333333333333333,0.11785113019775792,-1.9384212120866007,8.442477594323522,0.9345794392523364,1.1169210685792965,2.436830501042522,0.6211753112826672,0.1875,19.007575447805987,156.4,95.1,90
2026-02-24 17:36:51.283454,data_collection_user,5.48,133.33,7.03,1.000,0.06891782661235828,0.5129640170968766,0.48939405146521964,1.3499999999999999,0.14142135623730953,-1.9533316327997792,8.564752421247519,0.9259259259259258,1.117415155742955,2.445589199068548,0.9493088741398349,0.175,19.45899758279011,156.4,95.1,90
2026-02-24 17:36:51.325338,data_collection_user,5.52,133.33,7.03,1.000,0.06865668378675567,0.513797684916807,0.4897975650661204,1.3833333333333335,0.18856180831641264,-1.9679620917167093,8.68605607665498,0.9174311926605504,1.117621215082476,2.453824795669303,0.9547058562308169,0.175,19.90684574144281,156.4,95.1,90
